id,Restaurant Name,Category,Price Tier,Neighborhood,Opening Hours,Average Rating (out of 5 stars),Good for kids
1,lhammarberg0,Indian,Cheap,Upper West Side,9:00 - 20:00,1,False
2,bairds1,Pizza,Expensive,Rego Park,9:00 - 20:00,5,False
3,qjeanequin2,French,Medium,Upper East Side,9:00 - 20:00,3,False
4,agullifant3,Indian,Medium,Bushwick,9:00 - 20:00,2,True
5,emaccartan4,Japanese,Expensive,Sunnyside,9:00 - 20:00,5,False
6,ccritcher5,Chinese,Expensive,New Brighton,9:00 - 20:00,4,False
7,bendean6,American,Cheap,Belmont,9:00 - 20:00,1,False
8,glauks7,Italian,Expensive,Upper West Side,9:00 - 20:00,5,False
9,lcurnnok8,Mexican,Expensive,Belmont,9:00 - 20:00,5,True
10,kvossing9,Japanese,Medium,Westerleigh,9:00 - 20:00,5,True
11,efryatta,Pizza,Medium,New Brighton,9:00 - 20:00,4,False
12,gcogmanb,Japanese,Medium,Rosebank,9:00 - 20:00,3,False
13,jhamilc,Italian,Cheap,Bedford-Stuyvesant,9:00 - 20:00,4,False
14,tdumbreckd,Burger,Expensive,Woodside,9:00 - 20:00,1,False
15,dquilleashe,Fast Food,Cheap,Soundview,9:00 - 20:00,4,False
16,bneevesf,Korean,Cheap,Stapleton,9:00 - 20:00,3,False
17,chuggonsg,Fast Food,Expensive,Rosebank,9:00 - 20:00,5,True
18,elindlh,American,Medium,New Brighton,9:00 - 20:00,4,False
19,pmaginni,American,Medium,Flushing,9:00 - 20:00,5,True
20,lwainmanj,Italian,Medium,Forest Hills,9:00 - 20:00,4,False
21,chorningk,Burger,Expensive,Prospect Heights,9:00 - 20:00,3,True
22,adidellol,Mexican,Cheap,Riverdale,9:00 - 20:00,4,False
23,lwhitfieldm,Burger,Cheap,Greenpoint,9:00 - 20:00,2,False
24,msigsworthn,Chinese,Medium,Red Hook,9:00 - 20:00,2,False
25,wbotgero,Thai,Cheap,Upper West Side,9:00 - 20:00,4,False
26,amccollump,Japanese,Expensive,Tompkinsville,9:00 - 20:00,5,False
27,frymellq,American,Expensive,Crown Heights,9:00 - 20:00,3,False
28,kpionterr,Burger,Medium,Park Slope,9:00 - 20:00,1,False
29,vfyness,Pizza,Medium,Forest Hills,9:00 - 20:00,3,False
30,kgribbont,American,Medium,Tottenville,9:00 - 20:00,5,True
31,rattestoneu,American,Cheap,Park Slope,9:00 - 20:00,5,False
32,mseelbachv,American,Medium,Jackson Heights,9:00 - 20:00,4,True
33,acouchmanw,Burger,Medium,Stapleton,9:00 - 20:00,5,True
34,hhaningtonx,Italian,Expensive,Mott Haven,9:00 - 20:00,1,True
35,rblazey,American,Cheap,Soundview,9:00 - 20:00,1,False
36,rfulbrookz,Italian,Expensive,Park Slope,9:00 - 20:00,3,False
37,njanaud10,Mexican,Expensive,Bedford-Stuyvesant,9:00 - 20:00,1,True
38,mpapierz11,French,Expensive,Greenpoint,9:00 - 20:00,1,False
39,jmonelli12,Korean,Expensive,Prospect Heights,9:00 - 20:00,1,False
40,gcharlton13,Chinese,Cheap,Prospect Heights,9:00 - 20:00,5,True
41,hsheeres14,Thai,Cheap,Park Slope,9:00 - 20:00,4,False
42,nwickendon15,Korean,Medium,Mott Haven,9:00 - 20:00,5,False
43,tdillintone16,American,Medium,Midtown,9:00 - 20:00,4,False
44,lhintze17,Thai,Expensive,Forest Hills,9:00 - 20:00,2,False
45,roakenford18,Indian,Medium,Long Island City,9:00 - 20:00,3,False
46,kpittam19,French,Medium,Upper West Side,9:00 - 20:00,2,True
47,abickerstaff1a,Burger,Expensive,Jackson Heights,9:00 - 20:00,1,False
48,fboden1b,Japanese,Expensive,Stapleton,9:00 - 20:00,1,False
49,lkaveney1c,American,Expensive,Kingsbridge,9:00 - 20:00,1,False
50,owickmann1d,Korean,Expensive,Jamaica,9:00 - 20:00,2,True
51,sgrigoletti1e,Korean,Expensive,Park Slope,9:00 - 20:00,5,False
52,nwelham1f,Indian,Medium,Bushwick,9:00 - 20:00,2,False
53,bachromov1g,Chinese,Cheap,Annadale,9:00 - 20:00,4,False
54,mslayny1h,Pizza,Medium,Soundview,9:00 - 20:00,1,True
55,gagus1i,Pizza,Expensive,Morris Park,9:00 - 20:00,3,False
56,hplose1j,French,Expensive,Red Hook,9:00 - 20:00,1,True
57,wlucus1k,Thai,Cheap,Red Hook,9:00 - 20:00,2,False
58,edreamer1l,French,Cheap,Hunts Point,9:00 - 20:00,4,True
59,jcust1m,Thai,Cheap,Sunnyside,9:00 - 20:00,3,True
60,tregus1n,Chinese,Cheap,Midtown,9:00 - 20:00,5,True
61,xlongea1o,Thai,Medium,Sunnyside,9:00 - 20:00,2,True
62,lgiral1p,Korean,Medium,Greenwich Village,9:00 - 20:00,3,False
63,vpalliser1q,Korean,Medium,DUMBO,9:00 - 20:00,2,False
64,mlangmuir1r,Korean,Expensive,Harlem,9:00 - 20:00,5,False
65,cdelaharpe1s,American,Cheap,Annadale,9:00 - 20:00,4,True
66,jspary1t,Japanese,Expensive,Bayside,9:00 - 20:00,4,True
67,gingall1u,Korean,Medium,Pelham Bay,9:00 - 20:00,2,True
68,sdroghan1v,Fast Food,Expensive,Bayside,9:00 - 20:00,4,False
69,hvaneev1w,French,Medium,Greenpoint,9:00 - 20:00,1,False
70,bmunks1x,Chinese,Medium,Park Slope,9:00 - 20:00,3,True
71,ftewkesberrie1y,Thai,Cheap,Midtown,9:00 - 20:00,4,True
72,gnudds1z,American,Medium,Forest Hills,9:00 - 20:00,2,True
73,astork20,French,Cheap,Astoria,9:00 - 20:00,2,True
74,jnobes21,Korean,Expensive,Throgs Neck,9:00 - 20:00,4,True
75,dmaclaren22,Thai,Cheap,Soundview,9:00 - 20:00,1,True
76,wsaberton23,Thai,Expensive,Midtown,9:00 - 20:00,2,True
77,mblackburne24,Mexican,Expensive,Midtown,9:00 - 20:00,5,True
78,hlawrenceson25,Burger,Cheap,Fordham,9:00 - 20:00,3,True
79,ielen26,Japanese,Expensive,Stapleton,9:00 - 20:00,2,False
80,cmennithorp27,Fast Food,Cheap,Greenwich Village,9:00 - 20:00,2,False
81,sludy28,Korean,Cheap,DUMBO,9:00 - 20:00,3,True
82,mchatelot29,Fast Food,Expensive,Prospect Heights,9:00 - 20:00,4,True
83,dandroletti2a,American,Expensive,Lower East Side,9:00 - 20:00,1,True
84,drappoport2b,Fast Food,Expensive,Kingsbridge,9:00 - 20:00,2,True
85,avenney2c,Fast Food,Cheap,Riverdale,9:00 - 20:00,4,False
86,bbethune2d,Italian,Cheap,Tompkinsville,9:00 - 20:00,5,True
87,rkisbey2e,Korean,Expensive,Tribeca,9:00 - 20:00,1,False
88,wemsley2f,Fast Food,Expensive,New Brighton,9:00 - 20:00,4,False
89,hswenson2g,Japanese,Cheap,Red Hook,9:00 - 20:00,2,True
90,abratchell2h,Thai,Cheap,Bayside,9:00 - 20:00,3,True
91,cbrogi2i,Indian,Expensive,Pelham Bay,9:00 - 20:00,5,True
92,jmishow2j,Fast Food,Medium,Annadale,9:00 - 20:00,5,True
93,sblincoe2k,Indian,Medium,Tottenville,9:00 - 20:00,2,True
94,cmarushak2l,Thai,Expensive,Jamaica,9:00 - 20:00,2,True
95,tdowse2m,Fast Food,Medium,Chelsea,9:00 - 20:00,5,False
96,aboole2n,Fast Food,Medium,Morris Park,9:00 - 20:00,2,True
97,lcanas2o,Thai,Medium,Bushwick,9:00 - 20:00,3,False
98,rratt2p,Japanese,Expensive,Harlem,9:00 - 20:00,2,False
99,ovesque2q,French,Expensive,Belmont,9:00 - 20:00,5,True
100,aledward2r,American,Cheap,DUMBO,9:00 - 20:00,1,False
101,sfarleigh2s,Fast Food,Medium,Great Kills,9:00 - 20:00,2,True
102,kwiddup2t,Japanese,Cheap,Fordham,9:00 - 20:00,1,False
103,tsaker2u,Mexican,Medium,Lower East Side,9:00 - 20:00,3,True
104,bearnshaw2v,Fast Food,Cheap,Grasmere,9:00 - 20:00,2,False
105,jsalmen2w,Mexican,Medium,Rosebank,9:00 - 20:00,5,True
106,gmccraine2x,Burger,Expensive,Annadale,9:00 - 20:00,2,False
107,jnelsen2y,French,Cheap,Jamaica,9:00 - 20:00,4,False
108,xhenzer2z,Japanese,Cheap,Kingsbridge,9:00 - 20:00,4,False
109,acerro30,Italian,Medium,Pelham Bay,9:00 - 20:00,5,True
110,kmoorman31,Thai,Medium,SoHo,9:00 - 20:00,3,False
111,rpurvess32,Pizza,Cheap,Flushing,9:00 - 20:00,5,True
112,dclampe33,Mexican,Cheap,Tottenville,9:00 - 20:00,2,True
113,cosanne34,Thai,Medium,Red Hook,9:00 - 20:00,5,True
114,cchallenor35,Mexican,Cheap,Bushwick,9:00 - 20:00,2,True
115,chazart36,Fast Food,Expensive,Bushwick,9:00 - 20:00,1,True
